"Annual Rate","Descriptive","Doubling Time","Exponential Growth","Final Size","GLM","Markov Chain","Multiscale","Nearest Neighbor","Network Analysis","Phylodynamic","SEIR","SI","SIR","SIRS","SIS","SLICE","SLIR","SOEI","SUD","Seasonal Matrix","Stochastic","Time Series","White & Pagano","NA"
2,0,0,0,0,3,0,1,0,0,0,6,34,53,51,18,8,101,1,2,0,8,0,0,197
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25
0,0,2,13,27,0,3,0,3,0,3,2,14,54,45,6,22,67,0,0,0,0,4,9,127
0,0,0,0,0,3,0,0,0,0,0,0,5,2,0,0,0,2,4,0,0,0,0,0,54
0,0,0,0,0,0,0,0,0,2,0,0,3,0,3,14,0,4,0,1,1,0,0,0,95
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,16
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
