"Comparative","Descriptive Review","EU Report","Experimental","Experimental Field","Experimental Isolator","Experimental Lab","Experimental Stable","Field","Manufacturer Claim","Meta-analysis","Observational","Other","Prevalence","Questionairre","Retrospective","Retrospective cohort","Review","Seroprevalence","Survey","Systematic Review","WOAH Technical Disease Card","NA"
39,0,0,142,40,0,1,43,0,0,11,4,17,0,0,0,0,3,0,0,0,0,1
30,1,1,3,0,0,1,0,0,0,1,13,0,1,0,1,1,106,1,1,0,0,16
19,3,0,9,0,0,3,3,0,0,0,36,0,0,0,0,0,78,0,0,0,0,36
15,1,0,2,4,0,10,5,0,0,0,9,43,0,0,0,0,15,2,0,0,0,14
12,19,0,135,0,1,0,0,397,0,0,13,0,0,0,0,0,0,0,0,0,0,0
8,0,0,2,0,0,3,0,0,0,0,47,0,0,0,0,0,0,3,1,0,0,38
7,8,0,3,0,0,1,47,0,8,0,0,0,0,0,0,0,5,0,0,0,0,0
7,1,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,2,0,0,0,1,5
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
5,1,0,0,0,0,0,8,0,2,0,7,0,0,0,0,0,1,0,11,0,0,36
4,0,0,1,0,0,3,3,0,0,0,19,0,0,0,0,0,2,8,1,0,0,1
2,1,0,0,0,0,1,7,0,2,0,66,0,0,0,0,0,58,3,12,0,0,96
0,3,0,0,11,0,1,0,0,0,0,70,3,0,0,0,0,2,3,4,212,0,5
0,2,0,0,1,0,1,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,10
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1
0,0,0,9,18,0,2,38,0,0,1,31,0,0,0,0,0,1,0,2,0,0,9
0,0,0,0,6,0,1,0,0,0,0,16,0,0,0,0,0,1,10,0,0,0,19
0,0,0,0,0,0,3,1,0,0,1,0,7,0,1,0,0,6,6,0,0,0,22
0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,17,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
