"Annual Rate","Descriptive","Doubling Time","Exponential Growth","Final Size","GLM","Markov Chain","Multiscale","Nearest Neighbor","Network Analysis","Phylodynamic","SEIR","SI","SIR","SIRS","SIS","SLICE","SLIR","SOEI","SUD","Seasonal Matrix","Stochastic","Time Series","White & Pagano","NA"
2,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,30,4,0,0,0,8,0,0,263
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
0,0,2,13,26,0,0,0,3,0,3,0,0,84,48,0,0,159,0,0,0,0,4,9,226
0,0,0,0,1,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,64
0,0,0,0,0,0,3,0,0,0,0,0,23,5,0,38,0,0,0,0,0,0,0,0,232
0,0,0,0,0,0,0,0,0,2,0,0,0,3,23,0,0,0,0,3,0,0,0,0,89
0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,21
0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,27
0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,7,0,0,0,0,0,0,169
0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,64
0,0,0,0,0,0,0,0,0,0,0,0,0,10,28,0,0,0,0,0,0,0,0,0,64
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,168
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
