"parameter","if_other","unit","model_type","model_mixing","model_scale","study_type","pathogen","variant_strain","host","host_type","host_breed","host_age","host_other","vaccine_seeder","vaccine_contact","vaccine","value","lower_cl","upper_cl","estimation_type","estimation_method","remarks","ref","ref_short","year","filled_by","parameter_type","id","scale","inoculated_contact","material","test_type","sample_type","time_period","country","sampling_purpose","info_level","plan_implemented","plan_voluntary_compulsary","plan_coverage","country_disease_status","plan_type","last_updated"
"Transmission parameter","asymptomatic infectious - susceptible",NA,"SI",NA,NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,9e-07,NA,NA,NA,NA,"Then we build the African Swine FeverV transmission model with the virus in the environment and swill. We compute the basic reproduction number, and prove that the disease-free equilibrium is globally asymptotically stable when and the unique endemic equilibrium is globally asymptotically stable when . Using the public information, parameter values are evaluated. PRCCs and eFAST sensitivity analysis reveal that the release rate of African Swine FeverV from asymptomatic and symptomatic infectious pigs and the proportion of pig products from infectious pigs to swill have a significant impact on the African Swine FeverV transmission. Our findings suggest that the virus in the environment and contaminated swill contribute to the African Swine FeverV transmission. Our results may help animal health to prevent and control the African Swine FeverV transmission.","10.3934/mbe.2022608","Song et al., 2022",2022,"AA","Transmission","Transmission_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter","asymptomatic infectious - susceptible",NA,"SI",NA,NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,1.1e-08,NA,NA,NA,NA,"Then we build the African Swine FeverV transmission model with the virus in the environment and swill. We compute the basic reproduction number, and prove that the disease-free equilibrium is globally asymptotically stable when and the unique endemic equilibrium is globally asymptotically stable when . Using the public information, parameter values are evaluated. PRCCs and eFAST sensitivity analysis reveal that the release rate of African Swine FeverV from asymptomatic and symptomatic infectious pigs and the proportion of pig products from infectious pigs to swill have a significant impact on the African Swine FeverV transmission. Our findings suggest that the virus in the environment and contaminated swill contribute to the African Swine FeverV transmission. Our results may help animal health to prevent and control the African Swine FeverV transmission.","10.3934/mbe.2022608","Song et al., 2022",2022,"AA","Transmission","Transmission_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter","symptomatic infectious - susceptible",NA,"SI",NA,NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,1.35e-08,NA,NA,NA,NA,"Then we build the African Swine FeverV transmission model with the virus in the environment and swill. We compute the basic reproduction number, and prove that the disease-free equilibrium is globally asymptotically stable when and the unique endemic equilibrium is globally asymptotically stable when . Using the public information, parameter values are evaluated. PRCCs and eFAST sensitivity analysis reveal that the release rate of African Swine FeverV from asymptomatic and symptomatic infectious pigs and the proportion of pig products from infectious pigs to swill have a significant impact on the African Swine FeverV transmission. Our findings suggest that the virus in the environment and contaminated swill contribute to the African Swine FeverV transmission. Our results may help animal health to prevent and control the African Swine FeverV transmission.","10.3934/mbe.2022608","Song et al., 2022",2022,"AA","Transmission","Transmission_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter","symptomatic infectious - susceptible",NA,"SI",NA,NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,1.65e-07,NA,NA,NA,NA,"Then we build the African Swine FeverV transmission model with the virus in the environment and swill. We compute the basic reproduction number, and prove that the disease-free equilibrium is globally asymptotically stable when and the unique endemic equilibrium is globally asymptotically stable when . Using the public information, parameter values are evaluated. PRCCs and eFAST sensitivity analysis reveal that the release rate of African Swine FeverV from asymptomatic and symptomatic infectious pigs and the proportion of pig products from infectious pigs to swill have a significant impact on the African Swine FeverV transmission. Our findings suggest that the virus in the environment and contaminated swill contribute to the African Swine FeverV transmission. Our results may help animal health to prevent and control the African Swine FeverV transmission.","10.3934/mbe.2022608","Song et al., 2022",2022,"AA","Transmission","Transmission_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter","environment - susceptible",NA,"SI",NA,NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,1.28e-09,1.49e-10,1.49e-09,NA,NA,"Then we build the African Swine FeverV transmission model with the virus in the environment and swill. We compute the basic reproduction number, and prove that the disease-free equilibrium is globally asymptotically stable when and the unique endemic equilibrium is globally asymptotically stable when . Using the public information, parameter values are evaluated. PRCCs and eFAST sensitivity analysis reveal that the release rate of African Swine FeverV from asymptomatic and symptomatic infectious pigs and the proportion of pig products from infectious pigs to swill have a significant impact on the African Swine FeverV transmission. Our findings suggest that the virus in the environment and contaminated swill contribute to the African Swine FeverV transmission. Our results may help animal health to prevent and control the African Swine FeverV transmission.","10.3934/mbe.2022608","Song et al., 2022",2022,"AA","Transmission","Transmission_5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter","swill - susceptible",NA,"SI",NA,NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,2.7e-10,NA,NA,NA,NA,"Then we build the African Swine FeverV transmission model with the virus in the environment and swill. We compute the basic reproduction number, and prove that the disease-free equilibrium is globally asymptotically stable when and the unique endemic equilibrium is globally asymptotically stable when . Using the public information, parameter values are evaluated. PRCCs and eFAST sensitivity analysis reveal that the release rate of African Swine FeverV from asymptomatic and symptomatic infectious pigs and the proportion of pig products from infectious pigs to swill have a significant impact on the African Swine FeverV transmission. Our findings suggest that the virus in the environment and contaminated swill contribute to the African Swine FeverV transmission. Our results may help animal health to prevent and control the African Swine FeverV transmission.","10.3934/mbe.2022608","Song et al., 2022",2022,"AA","Transmission","Transmission_6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter","swill - susceptible",NA,"SI",NA,NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,3.3e-10,NA,NA,NA,NA,"Then we build the African Swine FeverV transmission model with the virus in the environment and swill. We compute the basic reproduction number, and prove that the disease-free equilibrium is globally asymptotically stable when and the unique endemic equilibrium is globally asymptotically stable when . Using the public information, parameter values are evaluated. PRCCs and eFAST sensitivity analysis reveal that the release rate of African Swine FeverV from asymptomatic and symptomatic infectious pigs and the proportion of pig products from infectious pigs to swill have a significant impact on the African Swine FeverV transmission. Our findings suggest that the virus in the environment and contaminated swill contribute to the African Swine FeverV transmission. Our results may help animal health to prevent and control the African Swine FeverV transmission.","10.3934/mbe.2022608","Song et al., 2022",2022,"AA","Transmission","Transmission_7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Basic reproduction number",NA,NA,"SI",NA,NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,4.1865,NA,NA,NA,NA,"Then we build the African Swine FeverV transmission model with the virus in the environment and swill. We compute the basic reproduction number, and prove that the disease-free equilibrium is globally asymptotically stable when and the unique endemic equilibrium is globally asymptotically stable when . Using the public information, parameter values are evaluated. PRCCs and eFAST sensitivity analysis reveal that the release rate of African Swine FeverV from asymptomatic and symptomatic infectious pigs and the proportion of pig products from infectious pigs to swill have a significant impact on the African Swine FeverV transmission. Our findings suggest that the virus in the environment and contaminated swill contribute to the African Swine FeverV transmission. Our results may help animal health to prevent and control the African Swine FeverV transmission.","10.3934/mbe.2022608","Song et al., 2022",2022,"AA","Transmission","Transmission_8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Basic reproduction number",NA,NA,"SI",NA,NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,0.8015,NA,NA,NA,NA,"Then we build the African Swine FeverV transmission model with the virus in the environment and swill. We compute the basic reproduction number, and prove that the disease-free equilibrium is globally asymptotically stable when and the unique endemic equilibrium is globally asymptotically stable when . Using the public information, parameter values are evaluated. PRCCs and eFAST sensitivity analysis reveal that the release rate of African Swine FeverV from asymptomatic and symptomatic infectious pigs and the proportion of pig products from infectious pigs to swill have a significant impact on the African Swine FeverV transmission. Our findings suggest that the virus in the environment and contaminated swill contribute to the African Swine FeverV transmission. Our results may help animal health to prevent and control the African Swine FeverV transmission.","10.3934/mbe.2022608","Song et al., 2022",2022,"AA","Transmission","Transmission_9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Basic reproduction number",NA,NA,"SLIR",NA,NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,18.5714,NA,NA,NA,NA,"n this paper, a mathematical model for African swine fever is modified by considering the swine farm with the contaminated human vector that is able to infect and spread the disease among swine farms.","10.3390/axioms11070329","Chuchard et al., 2022",2022,"AA","Transmission","Transmission_10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
