"id","parameter","biosecurity_measure","transmission_pathway","product_type","product_name","price","qty_by_event","unit_needed","price_by_event","country","year_cost","lifespan","remarks","ref","ref_status","ref_last_access","ref_short","last_access","filled_by","filled_date","parameter_type"
"cob-cos-mul-0000-1","Cost","Bedding disinfection","Contaminated materials","Bedding spreader","Electric wheeled bedding material spreader for sawdust and disinfectant powders","3418.3892153748402","1","unit","3418.3892153748402","Hungary","2026","10",NA,"https://www.allattartas.hu/alomszoro-elektromos-kezi-kocsi-maxi-215-literes_1041003","url_unchecked",NA,NA,"46171","Marietta Máté & László Ózsvári","19/02/26","cost_biosecurity"
"cob-cos-mul-0000-2","Cost","Bedding disinfection","Contaminated materials","Bedding hygiene powder","Salvana Salvaclean bedding hygiene powder (25 kg)","35.830765565438398","50","gram","7.1661531130876796E-2","Hungary","2026","consumable",NA,"https://www.allattartas.hu/salvana-salvaclean-alomhigieniai-hintopor","url_unchecked",NA,NA,"46171","Marietta Máté & László Ózsvári","19/02/26","cost_biosecurity"
"cob-cos-mul-0000-3","Cost","Cleaning and disinfection of boots","Visitors and workers","Boot washer (automatic)","Boot washer with brushes and water connection","137.54931702668401","1","unit","137.54931702668401","Hungary","2026","5",NA,"https://www.allattartas.hu/csizmamoso-kefevel-vizcsatlakozassal-es-alkatreszei_29239","url_unchecked",NA,NA,"46171","Marietta Máté & László Ózsvári","19/02/26","cost_biosecurity"
"cob-cos-mul-0000-4","Cost","Cleaning and disinfection of boots","Visitors and workers","Boot bath (plastic tub/bucket)","Footbath tray with sponge insert 50x70 cm","47.920266836086398","1","unit","47.920266836086398","Hungary","2026","3",NA,"https://www.allattartas.hu/labfertotlenito-talca-es-tartozekai_40955","url_unchecked",NA,NA,"46171","Marietta Máté & László Ózsvári","19/02/26","cost_biosecurity"
"cob-cos-mul-0000-5","Cost","Cleaning and disinfection of boots","Visitors and workers","Disinfection mat","Foot disinfection mat MAXI (large)","131.29614040660701","1","unit","131.29614040660701","Hungary","2026","3",NA,"https://www.allattartas.hu/labfertotlenito-szonyeg-maxi","url_unchecked",NA,NA,"46171","Marietta Máté & László Ózsvári","19/02/26","cost_biosecurity"
"cob-cos-mul-0000-6","Cost","Cleaning and disinfection of boots","Visitors and workers","Disinfection mat","Foot disinfection mat Promat 45x45 cm","25.408804531977999","1","unit","25.408804531977999","Hungary","2026","3",NA,"https://www.allattartas.hu/labfertotlenito-szonyeg-promat-45x45---90x60_817445","url_unchecked",NA,NA,"46171","Marietta Máté & László Ózsvári","19/02/26","cost_biosecurity"
"cob-cos-mul-0000-7","Cost","Cleaning and disinfection of boots","Visitors and workers","Disinfection mat","Foot disinfection mat Promat 90x60 cm","35.4138871241","1","unit","35.4138871241","Hungary","2026","3",NA,"https://www.allattartas.hu/labfertotlenito-szonyeg-promat-45x45---90x60_817445","url_unchecked",NA,NA,"46171","Marietta Máté & László Ózsvári","19/02/26","cost_biosecurity"
"cob-cos-mul-0000-8","Cost","Cleaning and disinfection of boots","Visitors and workers","Disinfectant used in boot bath","HALAMID disinfectant for entry disinfection tray (2 kg bucket)","39.582698009318101","400","gram","7.9165396018636196","Hungary","2026","consumable",NA,"https://www.allattartas.hu/halamid-fertotlenitoszer-belepteto-talcaba_393196","url_unchecked",NA,NA,"46171","Marietta Máté & László Ózsvári","19/02/26","cost_biosecurity"
"cob-cos-mul-0000-9","Cost","Cleaning and disinfection of boots","Visitors and workers","Boot washer (automatic)","Stainless steel boot cleaner RVS","130","1","unit","130","Belgium","2025","5",NA,"https://www.schippers.be/nl/laarzenreiniger-rvs-2505850.html","url_unchecked",NA,NA,"46171","Evelien Biebaut","24/09/25","cost_biosecurity"
"cob-cos-mul-0000-10","Cost","Cleaning and disinfection of boots","Visitors and workers","Boot washer (automatic)","Stainless steel boot cleaner RVS","134","1","unit","134","Belgium","2026","5",NA,"https://www.schippers.be/nl/laarzenreiniger-rvs-2505850.html","url_unchecked",NA,NA,"46171","Evelien Biebaut","24/09/25","cost_biosecurity"
