"parameter","test_type","pathogen","host","host_type","host_breed","host_age","host_other","study_type","sample_type","value","lower_cl","upper_cl","remarks","ref","ref_status","ref_last_access","ref_short","year","filled_by","filled_date","value_original","parameter_type","id"
"Sensitivity","PCR","African Swine Fever","Pigs; boar",NA,NA,NA,NA,"Comparative","Serum; blood; bloody swabs; bone marrow; spleen",0.9816,0.9525,0.991,"In this study, 12 commercial PCR kits were compared to an OIE-recommended method. Samples representing different matrices, genome loads, and genotypes were included in a panel that was tested under diagnostic conditions. The comparison included user-friendliness, internal controls, and the time required. All qPCRs were able to detect African Swine FeverV genome in different matrices across all genotypes and disease courses. With one exception, there were no significant differences when comparing the overall mean. The overall specificity was 100% (95% CI 87.66–100), and the sensitivity was between 95% and 100% (95% CI 91.11–100).","10.3390/v14020220","doi_invalid",2026-06-25,"Pikalo et al., 2022",2022,"Alistair Antonopoulos",2025-08-28,0.9816,"DiagnosticTest","DiagnosticTest*1"
"Specificity","PCR","African Swine Fever","Pigs; boar",NA,NA,NA,NA,"Comparative","Serum; blood; bloody swabs; bone marrow; spleen",1,1,1,"In this study, 12 commercial PCR kits were compared to an OIE-recommended method. Samples representing different matrices, genome loads, and genotypes were included in a panel that was tested under diagnostic conditions. The comparison included user-friendliness, internal controls, and the time required. All qPCRs were able to detect African Swine FeverV genome in different matrices across all genotypes and disease courses. With one exception, there were no significant differences when comparing the overall mean. The overall specificity was 100% (95% CI 87.66–100), and the sensitivity was between 95% and 100% (95% CI 91.11–100).","10.3390/v14020220","doi_invalid",2026-06-25,"Pikalo et al., 2022",2022,"Alistair Antonopoulos",2025-08-28,1,"DiagnosticTest","DiagnosticTest*2"
"Sensitivity","PCR","African Swine Fever","Pigs",NA,NA,NA,NA,"Comparative","Serum",NA,NA,NA,"5.5-57 genome copies - [This study describes the development of the now OIE recommended PCR assay] A real-time polymerase chain reaction (PCR) assay for the rapid detection of African swine fever virus (African Swine FeverV), multiplexed for simultaneous detection of swine beta-actin as an endogenous control, has been developed and validated by four National Reference Laboratories of the European Union for African swine fever (African Swine Fever) including the European Union Reference Laboratory.","10.1016/j.jviromet.2011.09.007","doi_invalid",2026-06-25,"Tignon et al., 2011",2011,"Alistair Antonopoulos",2025-08-28,NA,"DiagnosticTest","DiagnosticTest*3"
"Sensitivity","PCR","African Swine Fever","Pigs",NA,NA,NA,NA,"Comparative","Serum",NA,NA,NA,"13 genome copies (lowest) - 41 genome copies (highest) [This study describes comparison of 8 commercial PCR kits with primers developed by King et al. (WOAH)] we tested five commercial quantitative real-time PCR (qPCR) master mixes from Applied Biosystems, Bio-Rad, Biotechrabbit, Promega and Qiagen using the same primers and probe mix derived from the King et al.'s protocol for the sensitivity, specificity, correlation and inter-assay agreement. We further included three ad hoc molecular diagnostic kits (VetMax™ African Swine Fever Detection Kit [Applied Biosystems], ID Gene African Swine Fever Duplex [ID-Vet] and Virotype African Swine Fever PCR Kit [Qiagen/Indical]). The limit of detection (LOD) was assessed for each assay. The comparative study panel comprised 83 archived DNA samples from African Swine Fever virus (African Swine FeverV) clinical samples, belonging to five different genotypes from outbreaks in 16 countries in Asia and Africa. The analytical specificity was assessed against a panel of swine pathogens. The LOD ranged from 13 to 41 gene copies per reaction; VetMax ™ African Swine Fever Detection Kit from Applied Biosystems exhibited the lowest detection limit (13 gene copies per reaction) and iQ Supermix from Bio-Rad the highest detection limit (41 gene copies per reaction).","10.1111/tbed.14491","doi_invalid",2026-06-25,"Auer et al., 2022",2022,"Alistair Antonopoulos",2025-08-28,NA,"DiagnosticTest","DiagnosticTest*4"
"Sensitivity","Lateral Flow Assay","African Swine Fever","Boar",NA,NA,NA,NA,"Experimental","Blood (direct under field conditions)",0.125,NA,NA,"In detail, we evaluated the performance of the commercially available INGEZIM African Swine FeverV CROM Ag lateral flow assay (Eurofins Technologies Ingenasa) with selected high-quality reference blood samples, and with blood samples from wild boar carcasses collected under field conditions in Germany.","10.1111/tbed.14248","doi_invalid",2026-06-25,"Deutschmann et al., 2021",2021,"Alistair Antonopoulos",2025-08-28,0.125,"DiagnosticTest","DiagnosticTest*5"
"Sensitivity","Lateral Flow Assay","African Swine Fever","Boar",NA,NA,NA,NA,"Experimental","Blood (freeze thawed)",0.44,NA,NA,"In detail, we evaluated the performance of the commercially available INGEZIM African Swine FeverV CROM Ag lateral flow assay (Eurofins Technologies Ingenasa) with selected high-quality reference blood samples, and with blood samples from wild boar carcasses collected under field conditions in Germany.","10.1111/tbed.14248","doi_invalid",2026-06-25,"Deutschmann et al., 2021",2021,"Alistair Antonopoulos",2025-08-28,0.44,"DiagnosticTest","DiagnosticTest*6"
"Sensitivity","Lateral Flow Assay","African Swine Fever","Boar",NA,NA,NA,NA,"Experimental","Blood (ideal quality matrix)",0.77,NA,NA,"In detail, we evaluated the performance of the commercially available INGEZIM African Swine FeverV CROM Ag lateral flow assay (Eurofins Technologies Ingenasa) with selected high-quality reference blood samples, and with blood samples from wild boar carcasses collected under field conditions in Germany.","10.1111/tbed.14248","doi_invalid",2026-06-25,"Deutschmann et al., 2021",2021,"Alistair Antonopoulos",2025-08-28,0.77,"DiagnosticTest","DiagnosticTest*7"
"Specificity","Lateral Flow Assay","African Swine Fever","Boar",NA,NA,NA,NA,"Experimental","Blood",0.01,NA,NA,"In detail, we evaluated the performance of the commercially available INGEZIM African Swine FeverV CROM Ag lateral flow assay (Eurofins Technologies Ingenasa) with selected high-quality reference blood samples, and with blood samples from wild boar carcasses collected under field conditions in Germany.","10.1111/tbed.14248","doi_invalid",2026-06-25,"Deutschmann et al., 2021",2021,"Alistair Antonopoulos",2025-08-28,0.01,"DiagnosticTest","DiagnosticTest*8"
"Sensitivity","Pen Side Seriology","African Swine Fever","Wild Pigs",NA,NA,NA,NA,"Comparative","Blood; lung",0.818,NA,NA,"We evaluated a commercial serological test kit (Pen-side [PS]) for use in the field. We sampled 113 hunter-harvested WB during the 2014–15 season, collecting blood and lung samples to conduct serological analyses and to screen for the African Swine Fever virus.","10.7589/2016-05-112","doi_invalid",2026-06-25,"Cappai et al., 2017",2017,"Alistair Antonopoulos",2025-08-28,0.818,"DiagnosticTest","DiagnosticTest*9"
"Specificity","Pen Side Seriology","African Swine Fever","Wild Pigs",NA,NA,NA,NA,"Comparative","Blood; lung",0.959,NA,NA,"We evaluated a commercial serological test kit (Pen-side [PS]) for use in the field. We sampled 113 hunter-harvested WB during the 2014–15 season, collecting blood and lung samples to conduct serological analyses and to screen for the African Swine Fever virus.","10.7589/2016-05-112","doi_invalid",2026-06-25,"Cappai et al., 2017",2017,"Alistair Antonopoulos",2025-08-28,0.959,"DiagnosticTest","DiagnosticTest*10"
"Sensitivity","ELISA Ag","African Swine Fever","Pigs",NA,NA,NA,NA,"Comparative","Serum",0.772,NA,NA,"This study represents a complete comparative analysis of the most widely used African swine fever (African Swine Fever) diagnostic techniques in the European Union (EU) using field and experimental samples from animals infected with genotype II African Swine Fever virus (African Swine FeverV) isolates circulating in Europe. To detect African Swine FeverV, three different PCRs were evaluated in parallel using 785 field and experimental samples. The results showed almost perfect agreement between the Universal ProbeLibrary (UPL-PCR) and the real-time (κ = 0.94 [95% confidence interval {CI}, 0.91 to 0.97]) and conventional (κ = 0.88 [95% CI, 0.83 to 0.92]) World Organisation for Animal Health (OIE)-prescribed PCRs. The UPL-PCR had greater diagnostic sensitivity for detecting survivors and allows earlier detection of the disease. Compared to the commercial antigen enzyme-linked immunosorbent assay (ELISA), good-to-moderate agreement (κ = 0.67 [95% CI, 0.58 to 0.76]) was obtained, with a sensitivity of 77.2% in the commercial test. For African Swine Fever antibody detection, five serological methods were tested, including three commercial ELISAs, the OIE-ELISA, and the confirmatory immunoperoxidase test (IPT).","10.1128/jcm.00857-15","doi_invalid",2026-06-25,"Gallardo et al., 2015",2015,"Alistair Antonopoulos",2025-08-28,0.772,"DiagnosticTest","DiagnosticTest*11"
"Sensitivity","ELISA Ab","African Swine Fever","Pigs",NA,NA,NA,NA,"Comparative","Serum",0.429,0.359,0.501,"Here, we estimated and compared the diagnostic sensitivity and specificity of a novel indirect ELISA (iELISA) for African Swine Fever virus p30 antibody (Innoceleris LLC.) and the VetAlert™ African Swine Fever virus DNA Test Kit (qPCR, Tetracore Inc.) in field samples from Vietnam by assuming that disease status 1) is known and 2) is unknown using a BLCA model. In this cross-sectional study, 398 paired, individual swine serum/oral fluid (OF) samples were collected from 30 acutely African Swine Fever-affected farms, 37 chronically African Swine Fever-affected farms, and 20 African Swine Fever-unaffected farms in Vietnam. Samples were tested using both diagnostic assays. Diagnostic sensitivity was calculated assuming samples from African Swine Fever-affected farms were true positives and diagnostic sensitivity by assuming samples from unaffected farms were true negatives. ROC curves were plotted and AUC calculated for each test/sample combination. For comparison, a conditionally dependent, four test/sample combination, three population BLCA model was fit.","10.3389/fvets.2023.1079918","doi_invalid",2026-06-25,"Schambow et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.429,"DiagnosticTest","DiagnosticTest*12"
"Sensitivity","ELISA Ab","African Swine Fever","Pigs",NA,NA,NA,NA,"Comparative","Oral fluid",0.333,0.268,0.404,"Here, we estimated and compared the diagnostic sensitivity and specificity of a novel indirect ELISA (iELISA) for African Swine Fever virus p30 antibody (Innoceleris LLC.) and the VetAlert™ African Swine Fever virus DNA Test Kit (qPCR, Tetracore Inc.) in field samples from Vietnam by assuming that disease status 1) is known and 2) is unknown using a BLCA model. In this cross-sectional study, 398 paired, individual swine serum/oral fluid (OF) samples were collected from 30 acutely African Swine Fever-affected farms, 37 chronically African Swine Fever-affected farms, and 20 African Swine Fever-unaffected farms in Vietnam. Samples were tested using both diagnostic assays. Diagnostic sensitivity was calculated assuming samples from African Swine Fever-affected farms were true positives and diagnostic sensitivity by assuming samples from unaffected farms were true negatives. ROC curves were plotted and AUC calculated for each test/sample combination. For comparison, a conditionally dependent, four test/sample combination, three population BLCA model was fit.","10.3389/fvets.2023.1079918","doi_invalid",2026-06-25,"Schambow et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.333,"DiagnosticTest","DiagnosticTest*13"
"Specificity","ELISA Ab","African Swine Fever","Pigs",NA,NA,NA,NA,"Comparative","Serum; oral fluid",0.99,NA,NA,"Here, we estimated and compared the diagnostic sensitivity and specificity of a novel indirect ELISA (iELISA) for African Swine Fever virus p30 antibody (Innoceleris LLC.) and the VetAlert™ African Swine Fever virus DNA Test Kit (qPCR, Tetracore Inc.) in field samples from Vietnam by assuming that disease status 1) is known and 2) is unknown using a BLCA model. In this cross-sectional study, 398 paired, individual swine serum/oral fluid (OF) samples were collected from 30 acutely African Swine Fever-affected farms, 37 chronically African Swine Fever-affected farms, and 20 African Swine Fever-unaffected farms in Vietnam. Samples were tested using both diagnostic assays. Diagnostic sensitivity was calculated assuming samples from African Swine Fever-affected farms were true positives and diagnostic sensitivity by assuming samples from unaffected farms were true negatives. ROC curves were plotted and AUC calculated for each test/sample combination. For comparison, a conditionally dependent, four test/sample combination, three population BLCA model was fit.","10.3389/fvets.2023.1079918","doi_invalid",2026-06-25,"Schambow et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.99,"DiagnosticTest","DiagnosticTest*14"
"Sensitivity","PCR","African Swine Fever","Pigs",NA,NA,NA,NA,"Comparative","Serum",0.652,0.581,0.718,"Here, we estimated and compared the diagnostic sensitivity and specificity of a novel indirect ELISA (iELISA) for African Swine Fever virus p30 antibody (Innoceleris LLC.) and the VetAlert™ African Swine Fever virus DNA Test Kit (qPCR, Tetracore Inc.) in field samples from Vietnam by assuming that disease status 1) is known and 2) is unknown using a BLCA model. In this cross-sectional study, 398 paired, individual swine serum/oral fluid (OF) samples were collected from 30 acutely African Swine Fever-affected farms, 37 chronically African Swine Fever-affected farms, and 20 African Swine Fever-unaffected farms in Vietnam. Samples were tested using both diagnostic assays. Diagnostic sensitivity was calculated assuming samples from African Swine Fever-affected farms were true positives and diagnostic sensitivity by assuming samples from unaffected farms were true negatives. ROC curves were plotted and AUC calculated for each test/sample combination. For comparison, a conditionally dependent, four test/sample combination, three population BLCA model was fit.","10.3389/fvets.2023.1079918","doi_invalid",2026-06-25,"Schambow et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.652,"DiagnosticTest","DiagnosticTest*15"
"Sensitivity","PCR","African Swine Fever","Pigs",NA,NA,NA,NA,"Comparative","Oral fluid",0.52,0.448,0.592,"Here, we estimated and compared the diagnostic sensitivity and specificity of a novel indirect ELISA (iELISA) for African Swine Fever virus p30 antibody (Innoceleris LLC.) and the VetAlert™ African Swine Fever virus DNA Test Kit (qPCR, Tetracore Inc.) in field samples from Vietnam by assuming that disease status 1) is known and 2) is unknown using a BLCA model. In this cross-sectional study, 398 paired, individual swine serum/oral fluid (OF) samples were collected from 30 acutely African Swine Fever-affected farms, 37 chronically African Swine Fever-affected farms, and 20 African Swine Fever-unaffected farms in Vietnam. Samples were tested using both diagnostic assays. Diagnostic sensitivity was calculated assuming samples from African Swine Fever-affected farms were true positives and diagnostic sensitivity by assuming samples from unaffected farms were true negatives. ROC curves were plotted and AUC calculated for each test/sample combination. For comparison, a conditionally dependent, four test/sample combination, three population BLCA model was fit.","10.3389/fvets.2023.1079918","doi_invalid",2026-06-25,"Schambow et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.52,"DiagnosticTest","DiagnosticTest*16"
"Specificity","PCR","African Swine Fever","Pigs",NA,NA,NA,NA,"Comparative","Serum; oral fluid",0.99,NA,NA,"Here, we estimated and compared the diagnostic sensitivity and specificity of a novel indirect ELISA (iELISA) for African Swine Fever virus p30 antibody (Innoceleris LLC.) and the VetAlert™ African Swine Fever virus DNA Test Kit (qPCR, Tetracore Inc.) in field samples from Vietnam by assuming that disease status 1) is known and 2) is unknown using a BLCA model. In this cross-sectional study, 398 paired, individual swine serum/oral fluid (OF) samples were collected from 30 acutely African Swine Fever-affected farms, 37 chronically African Swine Fever-affected farms, and 20 African Swine Fever-unaffected farms in Vietnam. Samples were tested using both diagnostic assays. Diagnostic sensitivity was calculated assuming samples from African Swine Fever-affected farms were true positives and diagnostic sensitivity by assuming samples from unaffected farms were true negatives. ROC curves were plotted and AUC calculated for each test/sample combination. For comparison, a conditionally dependent, four test/sample combination, three population BLCA model was fit.","10.3389/fvets.2023.1079918","doi_invalid",2026-06-25,"Schambow et al., 2023",2023,"Alistair Antonopoulos",2025-08-28,0.99,"DiagnosticTest","DiagnosticTest*17"
"Sensitivity","ELISA Ab","African Swine Fever","Pigs",NA,NA,NA,NA,"Comparative","Blood; bone; organs",0.931,83.3,98.1,"In this study, we further evaluated the use of dry blood swabs for the detection of African Swine FeverV antibody and genome with samples from animal trials and diagnostic submissions (blood, bone and organs) from Estonia. Compared to serum samples, dried blood swabs yielded 93.1% (95% confidence interval: [83.3, 98.1]) sensitivity and 100% [95.9, 100.0] specificity in a commercial African Swine FeverV antibody ELISA. Similarly, the swabs gave a sensitivity of 98.9% [93.4, 100.0] and a specificity of 98.1% [90.1, 100.0] for genome detection by a standard African Swine FeverV p72 qPCR when compared to EDTA blood. The same swabs were tested in a VP72-antibody lateral flow device, with a sensitivity of 94.7% [85.4, 98.9] and specificity of 96.1% [89.0, 99.2] compared to the serum ELISA. When GenoTube samples tested in ELISA and LFD were compared, the sensitivity was 96.3% [87.3, 99.5] and the specificity was 93.8% [86.0, 97.9].","10.1111/tbed.12706","doi_invalid",2026-06-25,"Carlson et al., 2017",2017,"Alistair Antonopoulos",2025-08-28,0.931,"DiagnosticTest","DiagnosticTest*18"
"Specificity","ELISA Ab","African Swine Fever","Pigs",NA,NA,NA,NA,"Comparative","Blood; bone; organs",1,95.9,100,"In this study, we further evaluated the use of dry blood swabs for the detection of African Swine FeverV antibody and genome with samples from animal trials and diagnostic submissions (blood, bone and organs) from Estonia. Compared to serum samples, dried blood swabs yielded 93.1% (95% confidence interval: [83.3, 98.1]) sensitivity and 100% [95.9, 100.0] specificity in a commercial African Swine FeverV antibody ELISA. Similarly, the swabs gave a sensitivity of 98.9% [93.4, 100.0] and a specificity of 98.1% [90.1, 100.0] for genome detection by a standard African Swine FeverV p72 qPCR when compared to EDTA blood. The same swabs were tested in a VP72-antibody lateral flow device, with a sensitivity of 94.7% [85.4, 98.9] and specificity of 96.1% [89.0, 99.2] compared to the serum ELISA. When GenoTube samples tested in ELISA and LFD were compared, the sensitivity was 96.3% [87.3, 99.5] and the specificity was 93.8% [86.0, 97.9].","10.1111/tbed.12706","doi_invalid",2026-06-25,"Carlson et al., 2017",2017,"Alistair Antonopoulos",2025-08-28,1,"DiagnosticTest","DiagnosticTest*19"
"Sensitivity","PCR","African Swine Fever","Pigs",NA,NA,NA,NA,"Comparative","Blood; bone; organs",0.989,93.4,100,"In this study, we further evaluated the use of dry blood swabs for the detection of African Swine FeverV antibody and genome with samples from animal trials and diagnostic submissions (blood, bone and organs) from Estonia. Compared to serum samples, dried blood swabs yielded 93.1% (95% confidence interval: [83.3, 98.1]) sensitivity and 100% [95.9, 100.0] specificity in a commercial African Swine FeverV antibody ELISA. Similarly, the swabs gave a sensitivity of 98.9% [93.4, 100.0] and a specificity of 98.1% [90.1, 100.0] for genome detection by a standard African Swine FeverV p72 qPCR when compared to EDTA blood. The same swabs were tested in a VP72-antibody lateral flow device, with a sensitivity of 94.7% [85.4, 98.9] and specificity of 96.1% [89.0, 99.2] compared to the serum ELISA. When GenoTube samples tested in ELISA and LFD were compared, the sensitivity was 96.3% [87.3, 99.5] and the specificity was 93.8% [86.0, 97.9].","10.1111/tbed.12706","doi_invalid",2026-06-25,"Carlson et al., 2017",2017,"Alistair Antonopoulos",2025-08-28,0.989,"DiagnosticTest","DiagnosticTest*20"
