"Pathogen","Host","Transmission Parameters","Latent/incubation","Pathogen Survival","Diagnostic","Within Herd prevalence","Regional Prevalence","Control Programme"
"Bovine Viral Diarrhoea Virus","Cattle","R0; Beta","Latent; infectious","Pathogen survival/Disinfection; disinfection","ELISA; PCR; Virus Isolation in Cell Culture","Yes","Spain; UK; Greece; Belgium; Ireland; Estonia; Large scale review of 73 countries",NA
"Infectious Bovine Rhinotracheitis","Cattle","R0; Beta","latent","Pathogens survival; disinfection","ELISA; PCR","Yes","Spain; Estonia",NA
"Salmonella","Cattle","R0; Beta","Latent; infectious","Pathogen survivial; disinfection","ELISA; Faecal culture; PCR","Yes","UK; France; Denmark; Ireland; Estonia",NA
"Paratuberculosis","Cattle","R0; Beta; direct/indirect contact","latent","Pathogen survival/Disinfection","ELISA; PCR; Faecal culture; Environmental testing","Yes","UK; Ireland; Switzerland; Belgium; Germany; Ireland; Estonia; Large scale review of multiple countries",NA
"Bovine Respiratory Syncytial Virus","Cattle","R0; Beta","Incubation","Pathogen survival/Disinfection (Bovine Respiratory Syncytial Virus); disinfection (Bovine Respiratory Syncytial Virus)","ELISA; RT-PCR","Yes","Sweden; Ireland; Estonia; Switzerland; Italy; Norway",NA
"Bovine Tuberculosis","Cattle","R0; Beta (indoor/outdoor)","latent","Pathogen survivial","SICCT; PCR; Culture","Yes (but not in Europe)","Spain; UK (NI); Greece; Italy; Portugal; Bosnia, Hungary, Poland, Slovakia, Czechia, Slovenia Europe wide reviews",NA
"PRRS","Pigs","R0; Beta; direct/indirect contact","Latent; infectious","Pathogen survival/Disinfection","ELISA; RT-PCR","Yes","UK; Belgium",NA
"Swine Influenza","Pigs","R0; R; Beta (direct/airborne)","Latent; infectious","Pathogen survival/Disinfection; disinfection","ELISA; PCR","Yes","Europe (14 countries); Global; Norway, Spain, England; Belgium; Italy; France",NA
"Hepatitis E","Pigs","R0; beta (direct/indirect/environmental); oral infectious dose","Latent; infectious","Pathogen survivial; disinfection","ELISA; PCR","Yes","UK; Portugal; Spain; Netherlands; Italy; Czechia; Italy; Germany; Denmark; Bulgaria",NA
"Campylobacter","Poultry","Beta","Latent; infectious","Pathogen survival/Disinfection","Culture; RT-PCR; PCR; Sandwich Hybridisation","Yes","Bulgaria; Estonia; Latvia; Lithuania; Spain; UK; France; Italy; Denmark; Ireland",NA
"Contagious agalactia","Small ruminants","unable to locate any papers describing R0; Beta; direct/indirect contact","Incubation","Pathogen survival/Disinfection","ELISA; PCR","Yes","Spain; France; Czechia",NA
"Coxiella burnetii","Cattle; Small ruminants","Beta; infection probability","Infectious","Pathogen survival/Disinfection","ELISA; CFT","Yes","UK, Netherlands, Denmark, Spain, Portugal, Hungary, Spain, Germany; France; Italy; Global",NA
