"parameter","if_other","unit","scale","study_type","pathogen","variant_strain","host","host_type","host_breed","host_age","host_other","inoculated_contact","vaccine","value","lower_cl","upper_cl","estimation_type","estimation_method","remarks","ref_short","year","ref","filled_by"
"Infectious period",NA,NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,8.3,3.9,14.8,NA,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016",2016,"https://doi.org/10.1111/tbed.12748","AA"
"Infectious period",NA,NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,7.7,3.3,13.8,NA,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016",2016,"https://doi.org/10.1111/tbed.12748","AA"
"Infectious period",NA,NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,7.9,3.9,13.6,NA,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016",2016,"https://doi.org/10.1111/tbed.12748","AA"
"Infectious period",NA,NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,6.9,3,12.3,NA,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016",2016,"https://doi.org/10.1111/tbed.12748","AA"
"Infectious period",NA,NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,7.4,3.2,12.8,NA,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016",2016,"https://doi.org/10.1111/tbed.12748","AA"
"Infectious period",NA,NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,8.2,2.9,15.3,NA,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016",2016,"https://doi.org/10.1111/tbed.12748","AA"
"Infectious period",NA,NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,4.5,2.2,9.5,NA,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016",2016,"https://doi.org/10.1111/tbed.12748","AA"
"Infectious period",NA,NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,6,3,11.3,NA,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016",2016,"https://doi.org/10.1111/tbed.12748","AA"
"Infectious period",NA,NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,7.2,3.3,12.5,NA,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016",2016,"https://doi.org/10.1111/tbed.12748","AA"
"Shape",NA,"Shape (kE)",NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,20.8,6.2,40.9,NA,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016",2016,"https://doi.org/10.1111/tbed.12748","AA"
