"","Parameter","Test Type","Pathogen","Host","Host type","Host breed","Host Age (group)","Host other characterics","study","Type of sample","Value","Lower confidence/credible level","Upper confidence / credible level","Remarks","Reference","doi","Filled in by:"
"1","Sensitivity","PCR","African Swine Fever","Pigs; boar",NA,NA,NA,NA,"Comparative","Serum; blood; bloody swabs; bone marrow; spleen",0.9816,0.9525,0.991,"In this study, 12 commercial PCR kits were compared to an OIE-recommended method. Samples representing different matrices, genome loads, and genotypes were included in a panel that was tested under diagnostic conditions. The comparison included user-friendliness, internal controls, and the time required. All qPCRs were able to detect African Swine FeverV genome in different matrices across all genotypes and disease courses. With one exception, there were no significant differences when comparing the overall mean. The overall specificity was 100% (95% CI 87.66–100), and the sensitivity was between 95% and 100% (95% CI 91.11–100).","Pikalo et al., 2022","https://doi.org/10.3390%2Fv14020220","AA"
"2","Specificity","PCR","African Swine Fever","Pigs; boar",NA,NA,NA,NA,"Comparative","Serum; blood; bloody swabs; bone marrow; spleen",1,1,1,"In this study, 12 commercial PCR kits were compared to an OIE-recommended method. Samples representing different matrices, genome loads, and genotypes were included in a panel that was tested under diagnostic conditions. The comparison included user-friendliness, internal controls, and the time required. All qPCRs were able to detect African Swine FeverV genome in different matrices across all genotypes and disease courses. With one exception, there were no significant differences when comparing the overall mean. The overall specificity was 100% (95% CI 87.66–100), and the sensitivity was between 95% and 100% (95% CI 91.11–100).","Pikalo et al., 2022","https://doi.org/10.3390%2Fv14020220","AA"
"3","Sensitivity","PCR","African Swine Fever","Pigs",NA,NA,NA,NA,"Comparative","Serum",NA,NA,NA,"5.5-57 genome copies - [This study describes the development of the now OIE recommended PCR assay] A real-time polymerase chain reaction (PCR) assay for the rapid detection of African swine fever virus (African Swine FeverV), multiplexed for simultaneous detection of swine beta-actin as an endogenous control, has been developed and validated by four National Reference Laboratories of the European Union for African swine fever (African Swine Fever) including the European Union Reference Laboratory.","Tignon et al., 2011","https://doi.org/10.1016/j.jviromet.2011.09.007","AA"
"4","Sensitivity","PCR","African Swine Fever","Pigs",NA,NA,NA,NA,"Comparative","Serum",NA,NA,NA,"13 genome copies (lowest) - 41 genome copies (highest) [This study describes comparison of 8 commercial PCR kits with primers developed by King et al. (WOAH)] we tested five commercial quantitative real-time PCR (qPCR) master mixes from Applied Biosystems, Bio-Rad, Biotechrabbit, Promega and Qiagen using the same primers and probe mix derived from the King et al.'s protocol for the sensitivity, specificity, correlation and inter-assay agreement. We further included three ad hoc molecular diagnostic kits (VetMax™ African Swine Fever Detection Kit [Applied Biosystems], ID Gene African Swine Fever Duplex [ID-Vet] and Virotype African Swine Fever PCR Kit [Qiagen/Indical]). The limit of detection (LOD) was assessed for each assay. The comparative study panel comprised 83 archived DNA samples from African Swine Fever virus (African Swine FeverV) clinical samples, belonging to five different genotypes from outbreaks in 16 countries in Asia and Africa. The analytical specificity was assessed against a panel of swine pathogens. The LOD ranged from 13 to 41 gene copies per reaction; VetMax ™ African Swine Fever Detection Kit from Applied Biosystems exhibited the lowest detection limit (13 gene copies per reaction) and iQ Supermix from Bio-Rad the highest detection limit (41 gene copies per reaction).","Auer et al., 2022","https://doi.org/10.1111/tbed.14491","AA"
"5","Sensitivity","Lateral Flow Assay","African Swine Fever","Boar",NA,NA,NA,NA,"Experimental","Blood (direct under field conditions)",0.125,NA,NA,"In detail, we evaluated the performance of the commercially available INGEZIM African Swine FeverV CROM Ag lateral flow assay (Eurofins Technologies Ingenasa) with selected high-quality reference blood samples, and with blood samples from wild boar carcasses collected under field conditions in Germany.","Deutschmann et al., 2022)","https://doi.org/10.1111/tbed.14248","AA"
"6","Sensitivity","Lateral Flow Assay","African Swine Fever","Boar",NA,NA,NA,NA,"Experimental","Blood (freeze thawed)",0.44,NA,NA,"In detail, we evaluated the performance of the commercially available INGEZIM African Swine FeverV CROM Ag lateral flow assay (Eurofins Technologies Ingenasa) with selected high-quality reference blood samples, and with blood samples from wild boar carcasses collected under field conditions in Germany.","Deutschmann et al., 2022)","https://doi.org/10.1111/tbed.14248","AA"
"7","Sensitivity","Lateral Flow Assay","African Swine Fever","Boar",NA,NA,NA,NA,"Experimental","Blood (ideal quality matrix)",0.77,NA,NA,"In detail, we evaluated the performance of the commercially available INGEZIM African Swine FeverV CROM Ag lateral flow assay (Eurofins Technologies Ingenasa) with selected high-quality reference blood samples, and with blood samples from wild boar carcasses collected under field conditions in Germany.","Deutschmann et al., 2022)","https://doi.org/10.1111/tbed.14248","AA"
"8","Specificity","Lateral Flow Assay","African Swine Fever","Boar",NA,NA,NA,NA,"Experimental","Blood",0.01,NA,NA,"In detail, we evaluated the performance of the commercially available INGEZIM African Swine FeverV CROM Ag lateral flow assay (Eurofins Technologies Ingenasa) with selected high-quality reference blood samples, and with blood samples from wild boar carcasses collected under field conditions in Germany.","Deutschmann et al., 2022)","https://doi.org/10.1111/tbed.14248","AA"
"9","Sensitivity","Pen Side Seriology","African Swine Fever","Wild Pigs",NA,NA,NA,NA,"Comparative","Blood; lung",0.818,NA,NA,"We evaluated a commercial serological test kit (Pen-side [PS]) for use in the field. We sampled 113 hunter-harvested WB during the 2014–15 season, collecting blood and lung samples to conduct serological analyses and to screen for the African Swine Fever virus.","Cappai et al., 2017","https://doi.org/10.7589/2016-05-112","AA"
"10","Specificity","Pen Side Seriology","African Swine Fever","Wild Pigs",NA,NA,NA,NA,"Comparative","Blood; lung",0.959,NA,NA,"We evaluated a commercial serological test kit (Pen-side [PS]) for use in the field. We sampled 113 hunter-harvested WB during the 2014–15 season, collecting blood and lung samples to conduct serological analyses and to screen for the African Swine Fever virus.","Cappai et al., 2017","https://doi.org/10.7589/2016-05-112","AA"
"11","Sensitivity","ELISA Ag","African Swine Fever","Pigs",NA,NA,NA,NA,"Comparative","Serum",0.772,NA,NA,"This study represents a complete comparative analysis of the most widely used African swine fever (African Swine Fever) diagnostic techniques in the European Union (EU) using field and experimental samples from animals infected with genotype II African Swine Fever virus (African Swine FeverV) isolates circulating in Europe. To detect African Swine FeverV, three different PCRs were evaluated in parallel using 785 field and experimental samples. The results showed almost perfect agreement between the Universal ProbeLibrary (UPL-PCR) and the real-time (κ = 0.94 [95% confidence interval {CI}, 0.91 to 0.97]) and conventional (κ = 0.88 [95% CI, 0.83 to 0.92]) World Organisation for Animal Health (OIE)-prescribed PCRs. The UPL-PCR had greater diagnostic sensitivity for detecting survivors and allows earlier detection of the disease. Compared to the commercial antigen enzyme-linked immunosorbent assay (ELISA), good-to-moderate agreement (κ = 0.67 [95% CI, 0.58 to 0.76]) was obtained, with a sensitivity of 77.2% in the commercial test. For African Swine Fever antibody detection, five serological methods were tested, including three commercial ELISAs, the OIE-ELISA, and the confirmatory immunoperoxidase test (IPT).","Gallardo et al., 2015","https://doi.org/10.1128%2FJCM.00857-15","AA"
"12","Sensitivity","ELISA Ab","African Swine Fever","Pigs",NA,NA,NA,NA,"Comparative","Serum",0.429,0.359,0.501,NA,NA,NA,NA
"13","Sensitivity","ELISA Ab","African Swine Fever","Pigs",NA,NA,NA,NA,"Comparative","Oral fluid",0.333,0.268,0.404,"Here, we estimated and compared the diagnostic sensitivity and specificity of a novel indirect ELISA (iELISA) for African Swine Fever virus p30 antibody (Innoceleris LLC.) and the VetAlert™ African Swine Fever virus DNA Test Kit (qPCR, Tetracore Inc.) in field samples from Vietnam by assuming that disease status 1) is known and 2) is unknown using a BLCA model. In this cross-sectional study, 398 paired, individual swine serum/oral fluid (OF) samples were collected from 30 acutely African Swine Fever-affected farms, 37 chronically African Swine Fever-affected farms, and 20 African Swine Fever-unaffected farms in Vietnam. Samples were tested using both diagnostic assays. Diagnostic sensitivity was calculated assuming samples from African Swine Fever-affected farms were true positives and diagnostic sensitivity by assuming samples from unaffected farms were true negatives. ROC curves were plotted and AUC calculated for each test/sample combination. For comparison, a conditionally dependent, four test/sample combination, three population BLCA model was fit.","Schambow et al., 2023","https://doi.org/10.3389%2Ffvets.2023.1079918","AA"
"14","Specificity","ELISA Ab","African Swine Fever","Pigs",NA,NA,NA,NA,"Comparative","Serum; oral fluid",0.99,NA,NA,"Here, we estimated and compared the diagnostic sensitivity and specificity of a novel indirect ELISA (iELISA) for African Swine Fever virus p30 antibody (Innoceleris LLC.) and the VetAlert™ African Swine Fever virus DNA Test Kit (qPCR, Tetracore Inc.) in field samples from Vietnam by assuming that disease status 1) is known and 2) is unknown using a BLCA model. In this cross-sectional study, 398 paired, individual swine serum/oral fluid (OF) samples were collected from 30 acutely African Swine Fever-affected farms, 37 chronically African Swine Fever-affected farms, and 20 African Swine Fever-unaffected farms in Vietnam. Samples were tested using both diagnostic assays. Diagnostic sensitivity was calculated assuming samples from African Swine Fever-affected farms were true positives and diagnostic sensitivity by assuming samples from unaffected farms were true negatives. ROC curves were plotted and AUC calculated for each test/sample combination. For comparison, a conditionally dependent, four test/sample combination, three population BLCA model was fit.","Schambow et al., 2023","https://doi.org/10.3389%2Ffvets.2023.1079918","AA"
"15","Sensitivity","PCR","African Swine Fever","Pigs",NA,NA,NA,NA,"Comparative","Serum",0.652,0.581,0.718,"Here, we estimated and compared the diagnostic sensitivity and specificity of a novel indirect ELISA (iELISA) for African Swine Fever virus p30 antibody (Innoceleris LLC.) and the VetAlert™ African Swine Fever virus DNA Test Kit (qPCR, Tetracore Inc.) in field samples from Vietnam by assuming that disease status 1) is known and 2) is unknown using a BLCA model. In this cross-sectional study, 398 paired, individual swine serum/oral fluid (OF) samples were collected from 30 acutely African Swine Fever-affected farms, 37 chronically African Swine Fever-affected farms, and 20 African Swine Fever-unaffected farms in Vietnam. Samples were tested using both diagnostic assays. Diagnostic sensitivity was calculated assuming samples from African Swine Fever-affected farms were true positives and diagnostic sensitivity by assuming samples from unaffected farms were true negatives. ROC curves were plotted and AUC calculated for each test/sample combination. For comparison, a conditionally dependent, four test/sample combination, three population BLCA model was fit.","Schambow et al., 2023","https://doi.org/10.3389%2Ffvets.2023.1079918","AA"
