"","Parameter","If other","Unit","Study","Pathogen","Variant/Strain","Host","Host type","Host breed","Host Age (group)","Host other characterics","Inoculated / Contact","Vaccine","Value","Lower confidence/credible level","Upper confidence / credible level","Frequentist / Bayesian estimation","Remarks","Reference","doi","Filled in by:"
"1","Infectious period",NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,8.3,3.9,14.8,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016","https://doi.org/10.1111/tbed.12748","AA"
"2","Infectious period",NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,7.7,3.3,13.8,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016","https://doi.org/10.1111/tbed.12748","AA"
"3","Infectious period",NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,7.9,3.9,13.6,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016","https://doi.org/10.1111/tbed.12748","AA"
"4","Infectious period",NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,6.9,3,12.3,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016","https://doi.org/10.1111/tbed.12748","AA"
"5","Infectious period",NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,7.4,3.2,12.8,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016","https://doi.org/10.1111/tbed.12748","AA"
"6","Infectious period",NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,8.2,2.9,15.3,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016","https://doi.org/10.1111/tbed.12748","AA"
"7","Infectious period",NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,4.5,2.2,9.5,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016","https://doi.org/10.1111/tbed.12748","AA"
"8","Infectious period",NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,6,3,11.3,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016","https://doi.org/10.1111/tbed.12748","AA"
"9","Infectious period",NA,NA,"Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,7.2,3.3,12.5,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016","https://doi.org/10.1111/tbed.12748","AA"
"10","Shape",NA,"Latent period shape (kE)","Review","African Swine Fever",NA,"Pigs",NA,NA,NA,NA,NA,NA,20.8,6.2,40.9,NA,"In this study, we infer transmission rates for African swine fever virus (African Swine FeverV), an important transboundary disease of swine, using mortality data collected from nine pig herds in the Russian Federation with confirmed outbreaks of African Swine FeverV. Parameters in a stochastic model for the transmission of African Swine FeverV within a herd were estimated using approximate Bayesian computation.","Guinat et al., 2016","https://doi.org/10.1111/tbed.12748","AA"
