"","Parameter","Pathogen","Host","Host type","Host breed","Host Age (group)","Host  other characterics","Type of study","Time period","Value","Lower confidence/credible level","Upper confidence / credible level","Remarks","Reference","doi","Filled in by:"
"1","Within herd prevalence","Bluetongue",NA,"Cattle",NA,NA,NA,"Survey","2006",0.57,NA,NA,"During the bluetongue outbreak in the Netherlands in 2006, caused by BTV serotype 8, coupled serum and milk samples were obtained from 470 individual cows from 10 BTV-infected farms with an average seroprevalence of 57%.","Kramps et al., 2008","https://doi.org/10.1016/j.vetmic.2008.01.004","AA"
"2","Within herd prevalence","Bovine tuberculosis","Cattle",NA,NA,NA,NA,"Survey","2016-2017",0.052,0.04,0.06,"A cross-sectional study to estimate the prevalence of BTB and identify associated risk factors was conducted between February 2016 and March 2017. A total of 174 herds comprising of 2,754 dairy cattle in the cities of Gondar, Hawassa and Mekelle were tested using the Single Intradermal Comparative Cervical Tuberculin (SICCT) test.","Mekonnen et al., 2019","https://doi.org/10.1016/j.prevetmed.2019.04.010","AA"
"3","Within herd prevalence","Bovine tuberculosis","Cattle",NA,NA,NA,NA,"Survey","2016-2017",0.09,0.08,0.1,"A cross-sectional study to estimate the prevalence of BTB and identify associated risk factors was conducted between February 2016 and March 2017. A total of 174 herds comprising of 2,754 dairy cattle in the cities of Gondar, Hawassa and Mekelle were tested using the Single Intradermal Comparative Cervical Tuberculin (SICCT) test.","Mekonnen et al., 2019","https://doi.org/10.1016/j.prevetmed.2019.04.010","AA"
"4","Within herd prevalence","Bovine tuberculosis","Cattle",NA,NA,NA,NA,"Survey","2013",0.0424,NA,NA,"A cross-sectional study was conducted in February 2013 by using Comparative Intra-dermal Tuberculin Test (CIDT) in order to determine the prevalence Bovine Tb and the associated risk factors in Tiyo, Agarfa districts and in Shashemene town of Oromia National Regional State.","Lemu et al., 2020","https://doi.org/10.17352/ijvsr.000046","AA"
"5","Within herd prevalence","Bovine tuberculosis","Cattle",NA,NA,NA,NA,"Survey","2013",0.2066,NA,NA,"A cross-sectional study was conducted in February 2013 by using Comparative Intra-dermal Tuberculin Test (CIDT) in order to determine the prevalence Bovine Tb and the associated risk factors in Tiyo, Agarfa districts and in Shashemene town of Oromia National Regional State.","Lemu et al., 2020","https://doi.org/10.17352/ijvsr.000046","AA"
"6","Within herd prevalence","Bovine tuberculosis","Cattle",NA,NA,NA,NA,"Government Report (Wales)","2019",2e-04,NA,NA,"Welsh government report","Anonymous, 2019","https://www.gov.wales/sites/default/files/publications/2021-03/bovine-tb-annual-surveillance-report-2019_2.pdf","AA"
"7","Within herd prevalence","Bovine tuberculosis","Cattle",NA,NA,NA,NA,"Government Report (Wales)","2019",0.008,NA,NA,"Welsh government report","Anonymous, 2019","https://www.gov.wales/sites/default/files/publications/2021-03/bovine-tb-annual-surveillance-report-2019_2.pdf","AA"
"8","Within herd prevalence","Bovine tuberculosis","Cattle",NA,NA,NA,NA,"Survey","2019",0.113,0.099,0.128,"A cross-sectional survey was conducted in selected districts of Bangladesh to estimate the prevalence of bovine tuberculosis (bTB), and to identify the risk factors for bTB. We included 1865 farmed cattle from 79 herds randomly selected from five districts. Herd and animal level data were collected using semi-structured interviews with cattle herd owners. The single intradermal comparative tuberculin test (SICTT) was used to estimate the prevalence of bTB. The risk factors were identified using mixed-effect multiple logistic regression analyses.","Islam et al., 2020","https://doi.org/10.1371%2Fjournal.pone.0241717","AA"
"9","Within herd prevalence","Bovine respiratory syncytial virus","Cattle",NA,NA,NA,NA,"Seroprevalence",NA,0.691,NA,NA,"The herd seroprevalence of bovine respiratory syncytial virus (BRSV) was studied in 59 dairy cattle herds using serology on random selected animals stratified by two age classes (heifers, cows).","Luzzago et al., 2009","https://doi.org/10.1007/s11259-009-9327-z","AA"
"10","Within herd prevalence","Infectious Bovine Rhinotracheitis","Cattle",NA,NA,"<24 m",NA,NA,NA,NA,0.15,0.2,NA,"Santman-Berends et al. 2018","https://doi.org/10.1016/j.prevetmed.2017.08.024",NA
"11","Within herd prevalence","Infectious Bovine Rhinotracheitis","Cattle",NA,NA,">24m",NA,NA,NA,NA,0.53,0.58,NA,"Santman-Berends et al. 2019","https://doi.org/10.1016/j.prevetmed.2017.08.024",NA
"12","Within-herd prevalence of viremic animals","Bovine Viral Diarrhoea Virus - Transient infection","Cattle",NA,NA,NA,NA,NA,NA,0.01,0.0024,0.18,"Min, median and maximum calculated from endemic and free countries within-herd prevalence reported.","Foddai et al. 2014","https://doi.org/10.1016/j.prevetmed.2014.05.005",NA
"13","Within herd prevalence of persistently infected animals","Bovine Viral Diarrhoea Virus","Cattle",NA,NA,"<12m",NA,NA,NA,2e-04,NA,NA,NA,"Bachofen et al. 2013","https://pubmed.ncbi.nlm.nih.gov/24511819/",NA
"14","Within herd prevalence of persistently infected animals","Bovine Viral Diarrhoea Virus","Cattle",NA,NA,"<12m",NA,NA,NA,0.02,NA,NA,NA,"Joly et al. 2005","https://doi.org/10.1016/j.prevetmed.2005.07.016",NA
"15","Within herd prevalence of persistently infected animals","Bovine Viral Diarrhoea Virus","Cattle",NA,NA,"12-24 m",NA,NA,NA,NA,1e-04,0.01,"On average, the annual mortality rate of PI animals is 0.5, ranging from 0.26 to 0.74 (Houe, 1993).","Ezanno et al. 2007","https://doi.org/10.1016/j.prevetmed.2007.01.005",NA
"16","Within herd prevalence","Bovine Viral Diarrhoea Virus","Cattle",NA,NA,NA,"antibodies","Cross-sectional","2009-2010",0.329,NA,NA,"To determine the prevalence of Bovine Viral Diarrhoea VirusV in Belgium, a cross-sectional study was performed between November 2009 and March 2010. Young stock aged between 6 and 12 months from 773 randomly selected Belgian cattle herds were tested for Bovine Viral Diarrhoea VirusV-specific antibodies and antigen. With a target and maximum of 10 animals per sampled herd, a total of 5246 animals were selected.","Sarrazin et al., 2013","https://doi.org/10.1016/j.prevetmed.2012.07.005","AA"
"17","Within herd prevalence","Bovine Viral Diarrhoea Virus","Cattle",NA,NA,NA,"antigen","Cross-sectional","2009-2010",0.3,NA,NA,"To determine the prevalence of Bovine Viral Diarrhoea VirusV in Belgium, a cross-sectional study was performed between November 2009 and March 2010. Young stock aged between 6 and 12 months from 773 randomly selected Belgian cattle herds were tested for Bovine Viral Diarrhoea VirusV-specific antibodies and antigen. With a target and maximum of 10 animals per sampled herd, a total of 5246 animals were selected.","Sarrazin et al., 2013","https://doi.org/10.1016/j.prevetmed.2012.07.005","AA"
"18","Within herd prevalence","Bovine Viral Diarrhoea Virus","Cattle",NA,NA,NA,NA,"Seroprevalence","2019-2020",0.62,0.581,0.659,"Bulk tank milk (BTM) samples and 10 heifer serum samples were collected from 120 Estonian dairy herds with at least 100 cows, between August 2019 and July 2020. All samples were tested for antibodies against bovine herpesvirus 1 (BHV-1), bovine viral diarrhoea virus (Bovine Viral Diarrhoea VirusV), bovine respiratory syncytial virus (BRSV), Mycoplasma bovis, Mycobacterium avium spp. paratuberculosis (MAP) and SalmonellaDublin using commercial ELISA.","Motus et al., 2021","https://doi.org/10.1016/j.prevetmed.2021.105389","AA"
"19","Within herd prevalence","Campylobacter","Poultry",NA,NA,NA,NA,"Survey","2006",0.822,NA,NA,"By the end of the sampling period, Campylobacter spp. were detected on all poultry farms included in the study. Campylobacter was most frequently isolated from faecal samples, with 82·2% (37/45) of samples testing positive for the presence of the pathogen.","Patriarchi et al., 2009","https://doi.org/10.1111/j.1472-765X.2009.02658.x","AA"
"20","Within herd prevalence","Campylobacter","Poultry","layer",NA,NA,NA,"Survey","2011-2012",0.97,NA,NA,"in the Netherlands Campylobacter prevalence in caecal samples was 97% at layer farms (n = 5), and 93% at broiler farms with Campylobacter-positive flocks (n = 2/3). Campylobacter prevalence in environmental samples was 24% at layer farms, and 29% at broiler farms with Campylobacter-positive flocks.","Schets et al., 2017","https://doi.org/10.2166/wh.2017.119","AA"
"21","Within herd prevalence","Campylobacter","Poultry","broiler",NA,NA,NA,"Survey","2011-2012",0.93,NA,NA,"in the Netherlands Campylobacter prevalence in caecal samples was 97% at layer farms (n = 5), and 93% at broiler farms with Campylobacter-positive flocks (n = 2/3). Campylobacter prevalence in environmental samples was 24% at layer farms, and 29% at broiler farms with Campylobacter-positive flocks.","Schets et al., 2017","https://doi.org/10.2166/wh.2017.119","AA"
"22","Within herd prevalence","Campylobacter","Poultry",NA,NA,NA,NA,"Survey","<2020",0.788,0.745,0.825,"research was carried out in Italy with the aim of assessing Campylobacter contamination in broilers from breeding to slaughter, of defining the genetic diversity of isolates and their antibiotic resistance. Sampling was carried out in a slaughterhouse, and in farms representative of the most common broiler production in Italy. At farm, the 78.8% (95% C.I.: 74.5%‑82.5%) of cloacal samples tested positive for Campylobacter spp. C. jejuni showed higher prevalence in winter than in spring and summer (p < 0.00001, χ2 = 32.9), while C. colishowed an opposite trend (p < 0.00001, χ2= 41.1). At slaughterhouse, the 32.3% (95% C.I.: 30.2%‑35.2%) and the 23.9% (95% C.I.: 21.7%‑26.3%) of skin samples tested positive for C. jejuni for C. coli, respectively. C. coli showed higher prevalence than C. jejuni at washing (p < 0.05, χ2 = 11.11) and at chilling (p < 0.05, χ2 = 9.26).","Iannetti et al., 2020","https://doi.org/10.12834/VetIt.1819.9596","AA"
