"","Parameter","If other","Unit","Type of infectious disease model","Mixing","Study","Pathogen","Variant/Strain","Host","Host type","Host breed","Host Age (group)","Host other characterics","Seeder / Inoculated vaccinated","Contact vaccinated","Vaccine","Value","Lower confidence/credible level","Upper confidence / credible level","Frequentist / Bayesian estimation","Estimation method","Remarks","Reference","doi","Filled in by:","ParameterType","Inoculated / Contact","Material","Test Type","study","Type of sample","Type of study","Time period","Country","Sampling purpose","Information level","Control pogramm in place","Type of programme","Coverage (regional/national)","Country status for the disease","Control plan type","Last updated","Link","Type","Table","Term","Explanation...47","...48","...49","...50","...51","...52","...53","...54","...55","...56","...57","...58","Explanation...59","Denote major changes to the template in this sheet","...61","...62","Transmission Parameters","Latent/incubation","Pathogen Survival","Diagnostic","Within Herd prevalence","Regional Prevalence","Control Programme"
"1","Transmission parameter","asymptomatic infectious - susceptible",NA,"SI",NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,9e-07,NA,NA,NA,NA,"Then we build the African Swine FeverV transmission model with the virus in the environment and swill. We compute the basic reproduction number, and prove that the disease-free equilibrium is globally asymptotically stable when and the unique endemic equilibrium is globally asymptotically stable when . Using the public information, parameter values are evaluated. PRCCs and eFAST sensitivity analysis reveal that the release rate of African Swine FeverV from asymptomatic and symptomatic infectious pigs and the proportion of pig products from infectious pigs to swill have a significant impact on the African Swine FeverV transmission. Our findings suggest that the virus in the environment and contaminated swill contribute to the African Swine FeverV transmission. Our results may help animal health to prevent and control the African Swine FeverV transmission.","Song et al., 2022","https://doi.org/10.3934/mbe.2022608","AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Transmission parameter","asymptomatic infectious - susceptible",NA,"SI",NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,1.1e-08,NA,NA,NA,NA,"Then we build the African Swine FeverV transmission model with the virus in the environment and swill. We compute the basic reproduction number, and prove that the disease-free equilibrium is globally asymptotically stable when and the unique endemic equilibrium is globally asymptotically stable when . Using the public information, parameter values are evaluated. PRCCs and eFAST sensitivity analysis reveal that the release rate of African Swine FeverV from asymptomatic and symptomatic infectious pigs and the proportion of pig products from infectious pigs to swill have a significant impact on the African Swine FeverV transmission. Our findings suggest that the virus in the environment and contaminated swill contribute to the African Swine FeverV transmission. Our results may help animal health to prevent and control the African Swine FeverV transmission.","Song et al., 2022","https://doi.org/10.3934/mbe.2022608","AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Transmission parameter","symptomatic infectious - susceptible",NA,"SI",NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,1.35e-08,NA,NA,NA,NA,"Then we build the African Swine FeverV transmission model with the virus in the environment and swill. We compute the basic reproduction number, and prove that the disease-free equilibrium is globally asymptotically stable when and the unique endemic equilibrium is globally asymptotically stable when . Using the public information, parameter values are evaluated. PRCCs and eFAST sensitivity analysis reveal that the release rate of African Swine FeverV from asymptomatic and symptomatic infectious pigs and the proportion of pig products from infectious pigs to swill have a significant impact on the African Swine FeverV transmission. Our findings suggest that the virus in the environment and contaminated swill contribute to the African Swine FeverV transmission. Our results may help animal health to prevent and control the African Swine FeverV transmission.","Song et al., 2022","https://doi.org/10.3934/mbe.2022608","AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Transmission parameter","symptomatic infectious - susceptible",NA,"SI",NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,1.65e-07,NA,NA,NA,NA,"Then we build the African Swine FeverV transmission model with the virus in the environment and swill. We compute the basic reproduction number, and prove that the disease-free equilibrium is globally asymptotically stable when and the unique endemic equilibrium is globally asymptotically stable when . Using the public information, parameter values are evaluated. PRCCs and eFAST sensitivity analysis reveal that the release rate of African Swine FeverV from asymptomatic and symptomatic infectious pigs and the proportion of pig products from infectious pigs to swill have a significant impact on the African Swine FeverV transmission. Our findings suggest that the virus in the environment and contaminated swill contribute to the African Swine FeverV transmission. Our results may help animal health to prevent and control the African Swine FeverV transmission.","Song et al., 2022","https://doi.org/10.3934/mbe.2022608","AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Transmission parameter","environment - susceptible",NA,"SI",NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,1.28e-09,1.49e-10,1.49e-09,NA,NA,"Then we build the African Swine FeverV transmission model with the virus in the environment and swill. We compute the basic reproduction number, and prove that the disease-free equilibrium is globally asymptotically stable when and the unique endemic equilibrium is globally asymptotically stable when . Using the public information, parameter values are evaluated. PRCCs and eFAST sensitivity analysis reveal that the release rate of African Swine FeverV from asymptomatic and symptomatic infectious pigs and the proportion of pig products from infectious pigs to swill have a significant impact on the African Swine FeverV transmission. Our findings suggest that the virus in the environment and contaminated swill contribute to the African Swine FeverV transmission. Our results may help animal health to prevent and control the African Swine FeverV transmission.","Song et al., 2022","https://doi.org/10.3934/mbe.2022608","AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Transmission parameter","swill - susceptible",NA,"SI",NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,2.7e-10,NA,NA,NA,NA,"Then we build the African Swine FeverV transmission model with the virus in the environment and swill. We compute the basic reproduction number, and prove that the disease-free equilibrium is globally asymptotically stable when and the unique endemic equilibrium is globally asymptotically stable when . Using the public information, parameter values are evaluated. PRCCs and eFAST sensitivity analysis reveal that the release rate of African Swine FeverV from asymptomatic and symptomatic infectious pigs and the proportion of pig products from infectious pigs to swill have a significant impact on the African Swine FeverV transmission. Our findings suggest that the virus in the environment and contaminated swill contribute to the African Swine FeverV transmission. Our results may help animal health to prevent and control the African Swine FeverV transmission.","Song et al., 2022","https://doi.org/10.3934/mbe.2022608","AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Transmission parameter","swill - susceptible",NA,"SI",NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,3.3e-10,NA,NA,NA,NA,"Then we build the African Swine FeverV transmission model with the virus in the environment and swill. We compute the basic reproduction number, and prove that the disease-free equilibrium is globally asymptotically stable when and the unique endemic equilibrium is globally asymptotically stable when . Using the public information, parameter values are evaluated. PRCCs and eFAST sensitivity analysis reveal that the release rate of African Swine FeverV from asymptomatic and symptomatic infectious pigs and the proportion of pig products from infectious pigs to swill have a significant impact on the African Swine FeverV transmission. Our findings suggest that the virus in the environment and contaminated swill contribute to the African Swine FeverV transmission. Our results may help animal health to prevent and control the African Swine FeverV transmission.","Song et al., 2022","https://doi.org/10.3934/mbe.2022608","AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Basic reproduction number",NA,NA,"SI",NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,4.1865,NA,NA,NA,NA,"Then we build the African Swine FeverV transmission model with the virus in the environment and swill. We compute the basic reproduction number, and prove that the disease-free equilibrium is globally asymptotically stable when and the unique endemic equilibrium is globally asymptotically stable when . Using the public information, parameter values are evaluated. PRCCs and eFAST sensitivity analysis reveal that the release rate of African Swine FeverV from asymptomatic and symptomatic infectious pigs and the proportion of pig products from infectious pigs to swill have a significant impact on the African Swine FeverV transmission. Our findings suggest that the virus in the environment and contaminated swill contribute to the African Swine FeverV transmission. Our results may help animal health to prevent and control the African Swine FeverV transmission.","Song et al., 2022","https://doi.org/10.3934/mbe.2022608","AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Basic reproduction number",NA,NA,"Si",NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,0.8015,NA,NA,NA,NA,"Then we build the African Swine FeverV transmission model with the virus in the environment and swill. We compute the basic reproduction number, and prove that the disease-free equilibrium is globally asymptotically stable when and the unique endemic equilibrium is globally asymptotically stable when . Using the public information, parameter values are evaluated. PRCCs and eFAST sensitivity analysis reveal that the release rate of African Swine FeverV from asymptomatic and symptomatic infectious pigs and the proportion of pig products from infectious pigs to swill have a significant impact on the African Swine FeverV transmission. Our findings suggest that the virus in the environment and contaminated swill contribute to the African Swine FeverV transmission. Our results may help animal health to prevent and control the African Swine FeverV transmission.","Song et al., 2022","https://doi.org/10.3934/mbe.2022608","AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Basic reproduction number",NA,NA,"SLI-SC",NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,18.5714,NA,NA,NA,NA,"n this paper, a mathematical model for African swine fever is modified by considering the swine farm with the contaminated human vector that is able to infect and spread the disease among swine farms.","Chuchard et al., 2022","https://doi.org/10.3390/axioms11070329","AA","Transmission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
