Pathogen;SIR;SLIR;SIS;GLM;SLICE;SIRS;SI;Final Size;Exponential Growth;SEIR;Stochastic;Final size, Bayesian hierarchical model;SOEI;Bayesian;SIR/SEIR;Time Series;Nearest Neighbor;Phylodynamic;Markov Chain;SUD;Doubling Time;Network Analysis;Annual Rate;Descriptive;Multiscale;Seasonal Matrix
Avian Influenza;46;41;NA;30;NA;NA;18;20;8;8;1;7;NA;4;4;4;3;3;NA;NA;2;NA;NA;NA;NA;NA
E. coli;6;NA;39;NA;NA;NA;23;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA
Paratuberculosis;NA;4;NA;NA;30;NA;6;NA;NA;NA;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;1;NA
Salmonella;10;NA;NA;NA;NA;28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PRRS;3;NA;NA;NA;NA;23;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;2;NA;NA;NA;NA
Classical Swine Fever;NA;NA;NA;NA;NA;NA;11;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
African Swine Fever;NA;7;NA;NA;NA;NA;9;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Foot and Mouth Disease;8;NA;NA;6;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Campylobacter;NA;NA;NA;NA;NA;NA;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Bovine Tuberculosis;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Peste des Petits Ruminants;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1
Bovine Viral Diarrhoea Virus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA
Infectious Bovine Rhinotracheitis;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
