"Pathogen","Systematic Review","NA","Field","Experimental","Review","Observational","Experimental Stable","Other","Experimental Field","Comparative","Experimental Isolator","Descriptive Review","Survey","Meta-analysis","Manufacturer Claim","Seroprevalence","Experimental Lab","EU Report","Prevalence","Retrospective","Retrospective cohort","Questionairre","WOAH Technical Disease Card"
"Paratuberculosis",212,6,NA,NA,2,70,NA,3,11,NA,NA,3,4,NA,NA,3,1,NA,NA,NA,NA,NA,NA
"Avian Influenza",NA,192,147,134,NA,13,NA,NA,NA,12,32,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E. coli",NA,2,NA,142,3,4,43,17,40,39,NA,NA,NA,11,NA,NA,1,NA,NA,NA,NA,NA,NA
"Bovine Tuberculosis",NA,17,NA,3,106,13,NA,NA,NA,30,NA,1,1,1,NA,1,1,1,1,1,1,NA,NA
"Hepatitis E",NA,97,NA,NA,58,66,7,NA,NA,2,NA,1,12,NA,2,3,1,NA,NA,NA,NA,NA,NA
"African Swine Fever",NA,37,NA,9,78,36,3,NA,NA,19,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
"Foot and Mouth Disease",NA,1,NA,NA,5,NA,47,NA,NA,7,NA,8,NA,NA,11,NA,1,NA,NA,NA,NA,NA,NA
"Salmonella",NA,39,NA,2,NA,47,NA,NA,NA,8,NA,NA,1,NA,NA,3,3,NA,NA,NA,NA,NA,NA
"PRRS",NA,15,NA,2,15,9,5,43,4,15,NA,1,NA,NA,NA,2,10,NA,NA,NA,NA,NA,NA
"Swine Influenza",NA,10,NA,9,1,31,38,NA,18,NA,NA,NA,2,1,NA,NA,2,NA,NA,NA,NA,NA,NA
"Campylobacter",NA,37,NA,NA,1,7,8,NA,NA,5,NA,1,11,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"Bovine Viral Diarrhoea Virus",NA,23,NA,NA,6,NA,1,7,NA,NA,NA,NA,NA,1,NA,6,3,NA,NA,NA,NA,1,NA
"Bluetongue",NA,20,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coxiella burnetii",NA,20,NA,NA,1,16,NA,NA,6,NA,NA,NA,NA,NA,NA,10,1,NA,NA,NA,NA,NA,NA
"Bovine Respiratory Syncytial Virus",NA,2,NA,1,2,19,3,NA,NA,4,NA,NA,1,NA,NA,8,3,NA,NA,NA,NA,NA,NA
"Classical Swine Fever",NA,6,NA,NA,17,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Infectious Bovine Rhinotracheitis",NA,11,NA,NA,NA,NA,1,2,1,NA,NA,2,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA
"Peste des Petits Ruminants",NA,6,NA,NA,2,4,NA,7,NA,7,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Contagious agalactia",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Multiple",NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S. aureus",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
