"Pathogen","1993","1995","1996","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","NA"
"Bovine Respiratory Syncytial Virus",1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,19,1,NA,2,1,NA,2,NA,NA,5,NA,NA,5,NA,1,NA,1
"E. coli",NA,1,NA,NA,NA,NA,12,5,4,1,24,3,16,1,7,NA,NA,NA,4,5,9,NA,39,4,NA,15,151,NA,4
"Paratuberculosis",NA,NA,NA,2,NA,6,1,3,NA,16,NA,150,1,NA,1,NA,3,1,18,7,1,33,2,NA,6,64,NA,NA,2
"PRRS",NA,NA,NA,1,NA,18,NA,2,NA,NA,NA,NA,1,23,NA,3,2,3,4,20,4,NA,NA,4,11,17,NA,3,5
"Campylobacter",NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,1,5,1,5,NA,NA,6,NA,33,2,5,1,NA,NA,3
"Classical Swine Fever",NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,19,NA,NA,3,NA,NA,NA,NA,NA,4,11,NA,NA,NA,NA
"Bovine Tuberculosis",NA,NA,NA,NA,NA,1,NA,NA,NA,71,NA,NA,NA,NA,2,1,NA,61,NA,NA,NA,6,12,3,2,5,13,NA,1
"Contagious agalactia",NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1
"Salmonella",NA,NA,NA,NA,NA,1,NA,NA,NA,2,25,6,NA,NA,NA,2,27,21,NA,NA,4,2,NA,6,4,NA,2,NA,1
"Bovine Viral Diarrhoea Virus",NA,NA,NA,NA,NA,NA,1,NA,2,NA,4,NA,NA,NA,NA,NA,3,NA,4,NA,9,1,NA,NA,3,NA,NA,6,15
"Foot and Mouth Disease",NA,NA,NA,NA,NA,NA,NA,6,NA,NA,4,12,14,NA,NA,NA,NA,NA,10,5,NA,NA,7,9,NA,2,NA,NA,12
"Swine Influenza",NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,2,2,23,NA,17,12,NA,9,6,11,NA,7,5,1,12,NA,1
"Coxiella burnetii",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,4,2,12,1,9,2,NA,1,6,6,NA,4,NA,1,NA,NA,1
"Multiple",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bluetongue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA
"Avian Influenza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,18,NA,NA,NA,NA,NA,13,NA,10,NA,1,1,NA,516
"Infectious Bovine Rhinotracheitis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,12
"Hepatitis E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,3,2,78,9,3,1,NA,29,NA,1,3,50,1,3,NA,4
"Peste des Petits Ruminants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,2,1,7,NA,NA,NA,5,6,2,NA,NA,2
"African Swine Fever",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,23,NA,14,66,19,6,2,10,2,19,10,NA,15
"S. aureus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
